Thickness	P (Bar)	T_30_80_3	T_40_80_3	T_50_80_3	T_60_80_3	T_70_80_3	T_80_80_3
0 	0 	0 	0 	0 	0 	0 	0 
1 	270 	9 	13 	16 	19 	23 	26 
2 	539 	18 	25 	31 	38 	45 	51 
3 	809 	27 	37 	47 	57 	67 	77 
4 	1078 	35 	48 	61 	75 	88 	101 
5 	1348 	43 	59 	76 	93 	109 	126 
6 	1617 	50 	70 	90 	110 	130 	150 
7 	1887 	57 	81 	104 	127 	151 	174 
8 	2156 	64 	91 	117 	144 	171 	197 
9 	2426 	71 	101 	131 	161 	191 	221 
10 	2695 	77 	110 	143 	177 	210 	243 
11 	2965 	83 	119 	156 	193 	229 	266 
12 	3234 	89 	129 	169 	209 	249 	289 
13 	3504 	95 	138 	181 	225 	268 	311 
14 	3773 	100 	147 	194 	240 	287 	334 
15 	4043 	106 	156 	206 	256 	306 	356 
16 	4312 	111 	165 	218 	271 	325 	378 
17 	4582 	117 	173 	230 	287 	343 	400 
18 	4851 	122 	182 	242 	302 	362 	422 
19 	5121 	127 	190 	254 	317 	380 	444 
20 	5390 	132 	199 	265 	332 	399 	465 
21 	5660 	137 	207 	277 	347 	417 	487 
22 	5929 	141 	215 	288 	361 	435 	508 
23 	6199 	146 	223 	299 	376 	453 	529 
24 	6468 	150 	230 	310 	390 	470 	550 
25 	6738 	155 	238 	321 	405 	488 	571 
26 	7007 	159 	245 	332 	419 	505 	592 
27 	7277 	163 	253 	343 	433 	523 	613 
28 	7546 	168 	262 	356 	450 	544 	638 
29 	7816 	172 	270 	368 	466 	564 	662 
30 	8085 	177 	279 	381 	483 	585 	687 
31 	8355 	181 	287 	393 	499 	605 	711 
32 	8624 	185 	295 	405 	515 	625 	735 
33 	8894 	189 	303 	417 	531 	645 	759 
34 	9163 	193 	311 	429 	547 	665 	783 
35 	9433 	197 	319 	441 	563 	685 	807 
36 	9702 	201 	327 	453 	579 	705 	831 
37 	9972 	204 	334 	464 	594 	724 	854 
38 	10241 	208 	342 	476 	610 	744 	878 
39 	10511 	211 	349 	487 	625 	763 	901 
40 	10780 	215 	357 	499 	641 	783 	925 
41 	11050 	218 	364 	510 	656 	802 	948 
42 	11319 	221 	371 	521 	671 	821 	971 
43 	11589 	224 	378 	532 	686 	840 	994 
44 	11858 	226 	384 	542 	700 	858 	1016 
45 	12128 	229 	391 	553 	715 	877 	1039 
46 	12397 	232 	398 	564 	730 	896 	1062 
47 	12667 	234 	404 	574 	744 	914 	1084 
48 	12936 	236 	410 	584 	758 	932 	1106 
49 	13206 	238 	416 	594 	772 	950 	1128 
50 	13475 	241 	423 	605 	787 	969 	1151 
51 	13745 	242 	428 	614 	800 	986 	1172 
52 	14014 	244 	434 	624 	814 	1004 	1194 
53 	14284 	246 	440 	634 	828 	1022 	1216 
54 	14553 	248 	446 	644 	842 	1040 	1238 
55 	14823 	249 	452 	655 	858 	1061 	1264 
56 	15092 	251 	459 	667 	875 	1083 	1291 
57 	15362 	253 	466 	679 	892 	1105 	1318 
58 	15631 	255 	473 	691 	909 	1127 	1345 
59 	15901 	256 	479 	702 	925 	1148 	1371 
60 	16170 	257 	485 	713 	941 	1169 	1397 
61 	16440 	259 	492 	725 	958 	1191 	1424 
62 	16709 	260 	498 	736 	974 	1212 	1450 
63 	16979 	261 	504 	747 	990 	1233 	1476 
64 	17248 	262 	510 	758 	1006 	1254 	1502 
